run,t_collapse,critical_lag,peak_intensity
0,27,5,1.0572427068003165
1,28,8,1.1747381879592453
2,19,19,0.7229813664471398
3,25,1,1.2120679969370904
4,25,10,1.164286440829767
5,51,4,1.808015687000609
6,17,2,0.9756266507417002
7,23,11,1.4633196442791265
8,29,25,0.9136631749780073
9,24,3,1.2164731248182434
10,20,6,0.9496622621519599
11,21,1,1.2939448118445118
12,19,9,1.3893764820007324
13,26,17,1.132098153247976
14,15,8,1.1824205268887662
15,18,2,0.9977722966456155
16,61,6,2.1633514217107828
17,16,8,1.2448403514712219
18,18,4,1.183799476608058
19,24,15,1.5725128382536835
21,15,6,1.3884755622292753
22,26,4,0.8898922888981393
23,24,13,1.1458177162601852
24,30,11,1.6217425566080963
25,21,5,1.2203528098180036
26,17,5,0.9529609226259418
27,18,16,1.3710821796645347
28,22,6,1.0862875396506797
29,23,2,1.0292424663348112
